Loading data...
Epoch 102 | train_loss: 0.8661 | train_l1: 0.7037 | train_cos: 0.7519 | train_success: 0.6180 | val_mse: 1.3370 | val_l1: 0.8869 | val_cos: 0.6829 | val_success: 0.1035
Epoch 103 | train_loss: 0.8719 | train_l1: 0.7057 | train_cos: 0.7515 | train_success: 0.6112 | val_mse: 1.3345 | val_l1: 0.8860 | val_cos: 0.6832 | val_success: 0.1079
Epoch 104 | train_loss: 0.8668 | train_l1: 0.7040 | train_cos: 0.7522 | train_success: 0.6167 | val_mse: 1.3321 | val_l1: 0.8853 | val_cos: 0.6835 | val_success: 0.1074
Epoch 105 | train_loss: 0.8783 | train_l1: 0.7083 | train_cos: 0.7507 | train_success: 0.6037 | val_mse: 1.3320 | val_l1: 0.8851 | val_cos: 0.6836 | val_success: 0.1099
Epoch 106 | train_loss: 0.8726 | train_l1: 0.7063 | train_cos: 0.7508 | train_success: 0.6094 | val_mse: 1.3284 | val_l1: 0.8841 | val_cos: 0.6839 | val_success: 0.1143
Epoch 107 | train_loss: 0.8695 | train_l1: 0.7051 | train_cos: 0.7525 | train_success: 0.6144 | val_mse: 1.3294 | val_l1: 0.8842 | val_cos: 0.6839 | val_success: 0.1177
Epoch 108 | train_loss: 0.8727 | train_l1: 0.7059 | train_cos: 0.7515 | train_success: 0.6171 | val_mse: 1.3325 | val_l1: 0.8851 | val_cos: 0.6837 | val_success: 0.1207
Epoch 109 | train_loss: 0.8722 | train_l1: 0.7056 | train_cos: 0.7512 | train_success: 0.6157 | val_mse: 1.3306 | val_l1: 0.8845 | val_cos: 0.6839 | val_success: 0.1187
Epoch 110 | train_loss: 0.8689 | train_l1: 0.7048 | train_cos: 0.7521 | train_success: 0.6141 | val_mse: 1.3298 | val_l1: 0.8842 | val_cos: 0.6840 | val_success: 0.1192
Epoch 111 | train_loss: 0.8740 | train_l1: 0.7063 | train_cos: 0.7517 | train_success: 0.6132 | val_mse: 1.3297 | val_l1: 0.8841 | val_cos: 0.6841 | val_success: 0.1241
Epoch 112 | train_loss: 0.8669 | train_l1: 0.7041 | train_cos: 0.7535 | train_success: 0.6189 | val_mse: 1.3284 | val_l1: 0.8835 | val_cos: 0.6843 | val_success: 0.1290
Epoch 113 | train_loss: 0.8660 | train_l1: 0.7034 | train_cos: 0.7521 | train_success: 0.6184 | val_mse: 1.3267 | val_l1: 0.8831 | val_cos: 0.6845 | val_success: 0.1329
Epoch 114 | train_loss: 0.8705 | train_l1: 0.7051 | train_cos: 0.7519 | train_success: 0.6144 | val_mse: 1.3276 | val_l1: 0.8832 | val_cos: 0.6844 | val_success: 0.1373
Epoch 115 | train_loss: 0.8703 | train_l1: 0.7048 | train_cos: 0.7525 | train_success: 0.6145 | val_mse: 1.3250 | val_l1: 0.8826 | val_cos: 0.6847 | val_success: 0.1295
Epoch 116 | train_loss: 0.8680 | train_l1: 0.7041 | train_cos: 0.7528 | train_success: 0.6228 | val_mse: 1.3233 | val_l1: 0.8821 | val_cos: 0.6848 | val_success: 0.1280
Epoch 117 | train_loss: 0.8688 | train_l1: 0.7049 | train_cos: 0.7516 | train_success: 0.6140 | val_mse: 1.3244 | val_l1: 0.8823 | val_cos: 0.6848 | val_success: 0.1353
Epoch 118 | train_loss: 0.8675 | train_l1: 0.7044 | train_cos: 0.7525 | train_success: 0.6161 | val_mse: 1.3260 | val_l1: 0.8828 | val_cos: 0.6846 | val_success: 0.1324
Epoch 119 | train_loss: 0.8610 | train_l1: 0.7014 | train_cos: 0.7545 | train_success: 0.6258 | val_mse: 1.3267 | val_l1: 0.8829 | val_cos: 0.6846 | val_success: 0.1344
Epoch 120 | train_loss: 0.8605 | train_l1: 0.7015 | train_cos: 0.7541 | train_success: 0.6237 | val_mse: 1.3274 | val_l1: 0.8829 | val_cos: 0.6846 | val_success: 0.1398
Epoch 121 | train_loss: 0.8656 | train_l1: 0.7033 | train_cos: 0.7524 | train_success: 0.6231 | val_mse: 1.3252 | val_l1: 0.8822 | val_cos: 0.6849 | val_success: 0.1373
Epoch 122 | train_loss: 0.8639 | train_l1: 0.7028 | train_cos: 0.7537 | train_success: 0.6197 | val_mse: 1.3259 | val_l1: 0.8824 | val_cos: 0.6848 | val_success: 0.1412
Epoch 123 | train_loss: 0.8653 | train_l1: 0.7031 | train_cos: 0.7528 | train_success: 0.6215 | val_mse: 1.3300 | val_l1: 0.8836 | val_cos: 0.6844 | val_success: 0.1383
Epoch 124 | train_loss: 0.8628 | train_l1: 0.7020 | train_cos: 0.7530 | train_success: 0.6261 | val_mse: 1.3292 | val_l1: 0.8834 | val_cos: 0.6845 | val_success: 0.1393
Epoch 125 | train_loss: 0.8651 | train_l1: 0.7030 | train_cos: 0.7520 | train_success: 0.6163 | val_mse: 1.3286 | val_l1: 0.8833 | val_cos: 0.6846 | val_success: 0.1422
Epoch 126 | train_loss: 0.8622 | train_l1: 0.7021 | train_cos: 0.7529 | train_success: 0.6276 | val_mse: 1.3280 | val_l1: 0.8831 | val_cos: 0.6846 | val_success: 0.1393
Epoch 127 | train_loss: 0.8618 | train_l1: 0.7020 | train_cos: 0.7535 | train_success: 0.6251 | val_mse: 1.3286 | val_l1: 0.8832 | val_cos: 0.6846 | val_success: 0.1427
Epoch 128 | train_loss: 0.8604 | train_l1: 0.7014 | train_cos: 0.7545 | train_success: 0.6264 | val_mse: 1.3291 | val_l1: 0.8833 | val_cos: 0.6845 | val_success: 0.1432
Epoch 129 | train_loss: 0.8659 | train_l1: 0.7034 | train_cos: 0.7523 | train_success: 0.6219 | val_mse: 1.3271 | val_l1: 0.8827 | val_cos: 0.6847 | val_success: 0.1364
Epoch 130 | train_loss: 0.8623 | train_l1: 0.7019 | train_cos: 0.7526 | train_success: 0.6222 | val_mse: 1.3263 | val_l1: 0.8825 | val_cos: 0.6848 | val_success: 0.1388
Epoch 131 | train_loss: 0.8687 | train_l1: 0.7043 | train_cos: 0.7516 | train_success: 0.6186 | val_mse: 1.3231 | val_l1: 0.8817 | val_cos: 0.6850 | val_success: 0.1359
Epoch 132 | train_loss: 0.8636 | train_l1: 0.7025 | train_cos: 0.7528 | train_success: 0.6225 | val_mse: 1.3222 | val_l1: 0.8814 | val_cos: 0.6852 | val_success: 0.1378
Epoch 133 | train_loss: 0.8584 | train_l1: 0.7007 | train_cos: 0.7535 | train_success: 0.6246 | val_mse: 1.3217 | val_l1: 0.8810 | val_cos: 0.6854 | val_success: 0.1506
Epoch 134 | train_loss: 0.8518 | train_l1: 0.6979 | train_cos: 0.7550 | train_success: 0.6385 | val_mse: 1.3222 | val_l1: 0.8812 | val_cos: 0.6853 | val_success: 0.1462
Epoch 135 | train_loss: 0.8562 | train_l1: 0.7001 | train_cos: 0.7540 | train_success: 0.6219 | val_mse: 1.3244 | val_l1: 0.8818 | val_cos: 0.6851 | val_success: 0.1525
Epoch 136 | train_loss: 0.8602 | train_l1: 0.7014 | train_cos: 0.7543 | train_success: 0.6314 | val_mse: 1.3246 | val_l1: 0.8818 | val_cos: 0.6851 | val_success: 0.1476
Epoch 137 | train_loss: 0.8610 | train_l1: 0.7018 | train_cos: 0.7528 | train_success: 0.6246 | val_mse: 1.3199 | val_l1: 0.8804 | val_cos: 0.6856 | val_success: 0.1481
Epoch 138 | train_loss: 0.8604 | train_l1: 0.7013 | train_cos: 0.7520 | train_success: 0.6286 | val_mse: 1.3216 | val_l1: 0.8808 | val_cos: 0.6854 | val_success: 0.1530
