Epoch 133 | Train Loss: 0.8254 | Val Cheap Loss: 1.0578 | Val Last-T Loss: 1.0189
Epoch 134 | Train Loss: 0.8243 | Val Cheap Loss: 1.0533 | Val Last-T Loss: 1.0160
Epoch 135 | Train Loss: 0.8236 | Val Cheap Loss: 1.0497 | Val Last-T Loss: 1.0190
Epoch 136 | Train Loss: 0.8232 | Val Cheap Loss: 1.0555 | Val Last-T Loss: 1.0195
Epoch 137 | Train Loss: 0.8222 | Val Cheap Loss: 1.0556 | Val Last-T Loss: 1.0200
Epoch 138 | Train Loss: 0.8217 | Val Cheap Loss: 1.0573 | Val Last-T Loss: 1.0217
Epoch 139 | Train Loss: 0.8210 | Val Cheap Loss: 1.0577 | Val Last-T Loss: 1.0205
Epoch 140 | Train Loss: 0.8198 | Val Cheap Loss: 1.0601 | Val Last-T Loss: 1.0209
Epoch 141 | Train Loss: 0.8190 | Val Cheap Loss: 1.0543 | Val Last-T Loss: 1.0164
Epoch 142 | Train Loss: 0.8191 | Val Cheap Loss: 1.0559 | Val Last-T Loss: 1.0157
Epoch 143 | Train Loss: 0.8173 | Val Cheap Loss: 1.0589 | Val Last-T Loss: 1.0183
Epoch 144 | Train Loss: 0.8165 | Val Cheap Loss: 1.0550 | Val Last-T Loss: 1.0168
Epoch 145 | Train Loss: 0.8157 | Val Cheap Loss: 1.0518 | Val Last-T Loss: 1.0154
Epoch 146 | Train Loss: 0.8150 | Val Cheap Loss: 1.0637 | Val Last-T Loss: 1.0197
Epoch 147 | Train Loss: 0.8144 | Val Cheap Loss: 1.0614 | Val Last-T Loss: 1.0182
Epoch 148 | Train Loss: 0.8152 | Val Cheap Loss: 1.0561 | Val Last-T Loss: 1.0176
Epoch 149 | Train Loss: 0.8138 | Val Cheap Loss: 1.0566 | Val Last-T Loss: 1.0166
Epoch 150 | Train Loss: 0.8131 | Val Cheap Loss: 1.0591 | Val Last-T Loss: 1.0179 | Val TACOs L1: 1.0502

--- Evaluation Results: ONE_SHOT ---
Run Name: diffae_baseline
----------------------------------------
[1. Prediction to Ground-Truth Alignment]
  - Embedding 1 -> L1 Distance: 0.513099 | Cosine Similarity: 0.759606
  - Embedding 2 -> L1 Distance: 0.513099 | Cosine Similarity: 0.759315

[2. Proximity to True Average Mixture (c)]
  - Predicted 1 to c -> L1 Distance: 0.246623 | Cosine Similarity: 0.910884
  - Baseline GT 1 to c -> L1 Distance: 0.562880 | Cosine Similarity: 0.704848
  - Predicted 2 to c -> L1 Distance: 0.246623 | Cosine Similarity: 0.910221
  - Baseline GT 2 to c -> L1 Distance: 0.562880 | Cosine Similarity: 0.704571

[3. Predicted Outputs Inter-Relationship / Spread]
  - Inter-Predicted (p1 vs p2) -> L1: 0.493246 | Cosine Similarity: 0.662686
  - Inter-Ground-Truth (z1 vs z2) -> L1: 1.125759 | Cosine Similarity: -0.002203


--- Evaluation Results: ITERATIVE ---
Run Name: diffae_baseline
----------------------------------------
[1. Prediction to Ground-Truth Alignment]
  - Embedding 1 -> L1 Distance: 0.526556 | Cosine Similarity: 0.748014
  - Embedding 2 -> L1 Distance: 0.526556 | Cosine Similarity: 0.747723

[2. Proximity to True Average Mixture (c)]
  - Predicted 1 to c -> L1 Distance: 0.268924 | Cosine Similarity: 0.901478
  - Baseline GT 1 to c -> L1 Distance: 0.562880 | Cosine Similarity: 0.704848
  - Predicted 2 to c -> L1 Distance: 0.268924 | Cosine Similarity: 0.901799
  - Baseline GT 2 to c -> L1 Distance: 0.562880 | Cosine Similarity: 0.704571

[3. Predicted Outputs Inter-Relationship / Spread]
  - Inter-Predicted (p1 vs p2) -> L1: 0.537849 | Cosine Similarity: 0.635849
  - Inter-Ground-Truth (z1 vs z2) -> L1: 1.125759 | Cosine Similarity: -0.002203

