Loading data...
Epoch 047 | train_loss: 0.0897 | train_refine_l1: 0.0588 | train_initial_mse: 0.3081 | train_initial_l1: 0.4329 | val_loss: 0.4206 | val_refine_l1: 0.3482 | val_initial_mse: 0.7239 | val_initial_l1: 0.6666
Epoch 048 | train_loss: 0.0909 | train_refine_l1: 0.0603 | train_initial_mse: 0.3062 | train_initial_l1: 0.4316 | val_loss: 0.4253 | val_refine_l1: 0.3532 | val_initial_mse: 0.7214 | val_initial_l1: 0.6656
Epoch 049 | train_loss: 0.0887 | train_refine_l1: 0.0582 | train_initial_mse: 0.3051 | train_initial_l1: 0.4308 | val_loss: 0.4272 | val_refine_l1: 0.3545 | val_initial_mse: 0.7264 | val_initial_l1: 0.6677
Epoch 050 | train_loss: 0.0871 | train_refine_l1: 0.0568 | train_initial_mse: 0.3034 | train_initial_l1: 0.4296 | val_loss: 0.4209 | val_refine_l1: 0.3485 | val_initial_mse: 0.7246 | val_initial_l1: 0.6671 | val_sample_l1: 0.4976
Epoch 051 | train_loss: 0.0856 | train_refine_l1: 0.0554 | train_initial_mse: 0.3018 | train_initial_l1: 0.4284 | val_loss: 0.4171 | val_refine_l1: 0.3450 | val_initial_mse: 0.7210 | val_initial_l1: 0.6652
Epoch 052 | train_loss: 0.0863 | train_refine_l1: 0.0562 | train_initial_mse: 0.3004 | train_initial_l1: 0.4274 | val_loss: 0.4235 | val_refine_l1: 0.3514 | val_initial_mse: 0.7209 | val_initial_l1: 0.6653
Epoch 053 | train_loss: 0.0837 | train_refine_l1: 0.0538 | train_initial_mse: 0.2988 | train_initial_l1: 0.4263 | val_loss: 0.4186 | val_refine_l1: 0.3465 | val_initial_mse: 0.7208 | val_initial_l1: 0.6652
Epoch 054 | train_loss: 0.0850 | train_refine_l1: 0.0552 | train_initial_mse: 0.2978 | train_initial_l1: 0.4256 | val_loss: 0.4216 | val_refine_l1: 0.3492 | val_initial_mse: 0.7233 | val_initial_l1: 0.6664
Epoch 055 | train_loss: 0.0835 | train_refine_l1: 0.0539 | train_initial_mse: 0.2964 | train_initial_l1: 0.4246 | val_loss: 0.4239 | val_refine_l1: 0.3517 | val_initial_mse: 0.7227 | val_initial_l1: 0.6662
Epoch 056 | train_loss: 0.0831 | train_refine_l1: 0.0536 | train_initial_mse: 0.2951 | train_initial_l1: 0.4237 | val_loss: 0.4234 | val_refine_l1: 0.3514 | val_initial_mse: 0.7197 | val_initial_l1: 0.6648
Epoch 057 | train_loss: 0.0823 | train_refine_l1: 0.0529 | train_initial_mse: 0.2941 | train_initial_l1: 0.4229 | val_loss: 0.4134 | val_refine_l1: 0.3414 | val_initial_mse: 0.7197 | val_initial_l1: 0.6648
Epoch 058 | train_loss: 0.0819 | train_refine_l1: 0.0526 | train_initial_mse: 0.2928 | train_initial_l1: 0.4220 | val_loss: 0.4244 | val_refine_l1: 0.3517 | val_initial_mse: 0.7270 | val_initial_l1: 0.6683
Epoch 059 | train_loss: 0.0826 | train_refine_l1: 0.0534 | train_initial_mse: 0.2916 | train_initial_l1: 0.4212 | val_loss: 0.4187 | val_refine_l1: 0.3466 | val_initial_mse: 0.7215 | val_initial_l1: 0.6657
Epoch 060 | train_loss: 0.0805 | train_refine_l1: 0.0515 | train_initial_mse: 0.2901 | train_initial_l1: 0.4201 | val_loss: 0.4213 | val_refine_l1: 0.3491 | val_initial_mse: 0.7218 | val_initial_l1: 0.6660 | val_sample_l1: 0.4954
Epoch 061 | train_loss: 0.0800 | train_refine_l1: 0.0511 | train_initial_mse: 0.2891 | train_initial_l1: 0.4194 | val_loss: 0.4258 | val_refine_l1: 0.3539 | val_initial_mse: 0.7192 | val_initial_l1: 0.6644
Epoch 062 | train_loss: 0.0803 | train_refine_l1: 0.0515 | train_initial_mse: 0.2880 | train_initial_l1: 0.4185 | val_loss: 0.4234 | val_refine_l1: 0.3510 | val_initial_mse: 0.7232 | val_initial_l1: 0.6664
Epoch 063 | train_loss: 0.0802 | train_refine_l1: 0.0515 | train_initial_mse: 0.2872 | train_initial_l1: 0.4180 | val_loss: 0.4229 | val_refine_l1: 0.3510 | val_initial_mse: 0.7186 | val_initial_l1: 0.6645
Epoch 064 | train_loss: 0.0798 | train_refine_l1: 0.0512 | train_initial_mse: 0.2861 | train_initial_l1: 0.4171 | val_loss: 0.4252 | val_refine_l1: 0.3531 | val_initial_mse: 0.7208 | val_initial_l1: 0.6653
Epoch 065 | train_loss: 0.0789 | train_refine_l1: 0.0504 | train_initial_mse: 0.2852 | train_initial_l1: 0.4165 | val_loss: 0.4297 | val_refine_l1: 0.3578 | val_initial_mse: 0.7188 | val_initial_l1: 0.6644
Epoch 066 | train_loss: 0.0781 | train_refine_l1: 0.0497 | train_initial_mse: 0.2840 | train_initial_l1: 0.4156 | val_loss: 0.4280 | val_refine_l1: 0.3559 | val_initial_mse: 0.7210 | val_initial_l1: 0.6656
Epoch 067 | train_loss: 0.0775 | train_refine_l1: 0.0492 | train_initial_mse: 0.2831 | train_initial_l1: 0.4150 | val_loss: 0.4259 | val_refine_l1: 0.3538 | val_initial_mse: 0.7207 | val_initial_l1: 0.6654
Epoch 068 | train_loss: 0.0756 | train_refine_l1: 0.0474 | train_initial_mse: 0.2818 | train_initial_l1: 0.4140 | val_loss: 0.4263 | val_refine_l1: 0.3540 | val_initial_mse: 0.7229 | val_initial_l1: 0.6664
Epoch 069 | train_loss: 0.0762 | train_refine_l1: 0.0481 | train_initial_mse: 0.2807 | train_initial_l1: 0.4132 | val_loss: 0.4214 | val_refine_l1: 0.3494 | val_initial_mse: 0.7206 | val_initial_l1: 0.6654
Epoch 070 | train_loss: 0.0760 | train_refine_l1: 0.0480 | train_initial_mse: 0.2797 | train_initial_l1: 0.4125 | val_loss: 0.4242 | val_refine_l1: 0.3520 | val_initial_mse: 0.7214 | val_initial_l1: 0.6660 | val_sample_l1: 0.4952
Epoch 071 | train_loss: 0.0755 | train_refine_l1: 0.0476 | train_initial_mse: 0.2790 | train_initial_l1: 0.4119 | val_loss: 0.4248 | val_refine_l1: 0.3523 | val_initial_mse: 0.7244 | val_initial_l1: 0.6672
Epoch 072 | train_loss: 0.0747 | train_refine_l1: 0.0469 | train_initial_mse: 0.2776 | train_initial_l1: 0.4109 | val_loss: 0.4291 | val_refine_l1: 0.3570 | val_initial_mse: 0.7216 | val_initial_l1: 0.6658
Epoch 073 | train_loss: 0.0741 | train_refine_l1: 0.0464 | train_initial_mse: 0.2770 | train_initial_l1: 0.4105 | val_loss: 0.4274 | val_refine_l1: 0.3552 | val_initial_mse: 0.7218 | val_initial_l1: 0.6661
Epoch 074 | train_loss: 0.0743 | train_refine_l1: 0.0467 | train_initial_mse: 0.2763 | train_initial_l1: 0.4099 | val_loss: 0.4278 | val_refine_l1: 0.3552 | val_initial_mse: 0.7262 | val_initial_l1: 0.6680
Epoch 075 | train_loss: 0.0746 | train_refine_l1: 0.0470 | train_initial_mse: 0.2754 | train_initial_l1: 0.4092 | val_loss: 0.4259 | val_refine_l1: 0.3535 | val_initial_mse: 0.7243 | val_initial_l1: 0.6671
Epoch 076 | train_loss: 0.0733 | train_refine_l1: 0.0458 | train_initial_mse: 0.2744 | train_initial_l1: 0.4085 | val_loss: 0.4273 | val_refine_l1: 0.3545 | val_initial_mse: 0.7279 | val_initial_l1: 0.6688
Epoch 077 | train_loss: 0.0736 | train_refine_l1: 0.0462 | train_initial_mse: 0.2733 | train_initial_l1: 0.4078 | val_loss: 0.4287 | val_refine_l1: 0.3564 | val_initial_mse: 0.7230 | val_initial_l1: 0.6664
Epoch 078 | train_loss: 0.0726 | train_refine_l1: 0.0454 | train_initial_mse: 0.2725 | train_initial_l1: 0.4071 | val_loss: 0.4294 | val_refine_l1: 0.3572 | val_initial_mse: 0.7218 | val_initial_l1: 0.6660
Epoch 079 | train_loss: 0.0734 | train_refine_l1: 0.0462 | train_initial_mse: 0.2718 | train_initial_l1: 0.4066 | val_loss: 0.4223 | val_refine_l1: 0.3502 | val_initial_mse: 0.7214 | val_initial_l1: 0.6657
Epoch 080 | train_loss: 0.0725 | train_refine_l1: 0.0453 | train_initial_mse: 0.2712 | train_initial_l1: 0.4062 | val_loss: 0.4307 | val_refine_l1: 0.3586 | val_initial_mse: 0.7207 | val_initial_l1: 0.6656 | val_sample_l1: 0.5002
Epoch 081 | train_loss: 0.0715 | train_refine_l1: 0.0445 | train_initial_mse: 0.2702 | train_initial_l1: 0.4054 | val_loss: 0.4277 | val_refine_l1: 0.3556 | val_initial_mse: 0.7207 | val_initial_l1: 0.6656
Epoch 082 | train_loss: 0.0721 | train_refine_l1: 0.0452 | train_initial_mse: 0.2693 | train_initial_l1: 0.4048 | val_loss: 0.4261 | val_refine_l1: 0.3539 | val_initial_mse: 0.7219 | val_initial_l1: 0.6662
Epoch 083 | train_loss: 0.0710 | train_refine_l1: 0.0441 | train_initial_mse: 0.2689 | train_initial_l1: 0.4044 | val_loss: 0.4240 | val_refine_l1: 0.3520 | val_initial_mse: 0.7193 | val_initial_l1: 0.6650
Epoch 084 | train_loss: 0.0705 | train_refine_l1: 0.0437 | train_initial_mse: 0.2675 | train_initial_l1: 0.4034 | val_loss: 0.4259 | val_refine_l1: 0.3537 | val_initial_mse: 0.7226 | val_initial_l1: 0.6664
Epoch 085 | train_loss: 0.0695 | train_refine_l1: 0.0428 | train_initial_mse: 0.2670 | train_initial_l1: 0.4030 | val_loss: 0.4239 | val_refine_l1: 0.3520 | val_initial_mse: 0.7186 | val_initial_l1: 0.6646
Epoch 086 | train_loss: 0.0695 | train_refine_l1: 0.0429 | train_initial_mse: 0.2662 | train_initial_l1: 0.4024 | val_loss: 0.4289 | val_refine_l1: 0.3567 | val_initial_mse: 0.7222 | val_initial_l1: 0.6662
Epoch 087 | train_loss: 0.0702 | train_refine_l1: 0.0437 | train_initial_mse: 0.2652 | train_initial_l1: 0.4017 | val_loss: 0.4245 | val_refine_l1: 0.3523 | val_initial_mse: 0.7223 | val_initial_l1: 0.6665
Epoch 088 | train_loss: 0.0699 | train_refine_l1: 0.0434 | train_initial_mse: 0.2647 | train_initial_l1: 0.4013 | val_loss: 0.4244 | val_refine_l1: 0.3524 | val_initial_mse: 0.7201 | val_initial_l1: 0.6654
Epoch 089 | train_loss: 0.0694 | train_refine_l1: 0.0430 | train_initial_mse: 0.2637 | train_initial_l1: 0.4006 | val_loss: 0.4268 | val_refine_l1: 0.3545 | val_initial_mse: 0.7225 | val_initial_l1: 0.6664
Epoch 090 | train_loss: 0.0687 | train_refine_l1: 0.0423 | train_initial_mse: 0.2633 | train_initial_l1: 0.4002 | val_loss: 0.4271 | val_refine_l1: 0.3550 | val_initial_mse: 0.7211 | val_initial_l1: 0.6658 | val_sample_l1: 0.4992
Epoch 091 | train_loss: 0.0678 | train_refine_l1: 0.0415 | train_initial_mse: 0.2624 | train_initial_l1: 0.3995 | val_loss: 0.4272 | val_refine_l1: 0.3551 | val_initial_mse: 0.7208 | val_initial_l1: 0.6658
Epoch 092 | train_loss: 0.0687 | train_refine_l1: 0.0425 | train_initial_mse: 0.2620 | train_initial_l1: 0.3992 | val_loss: 0.4257 | val_refine_l1: 0.3535 | val_initial_mse: 0.7224 | val_initial_l1: 0.6665
Epoch 093 | train_loss: 0.0668 | train_refine_l1: 0.0407 | train_initial_mse: 0.2609 | train_initial_l1: 0.3985 | val_loss: 0.4262 | val_refine_l1: 0.3540 | val_initial_mse: 0.7217 | val_initial_l1: 0.6661
Epoch 094 | train_loss: 0.0662 | train_refine_l1: 0.0402 | train_initial_mse: 0.2601 | train_initial_l1: 0.3978 | val_loss: 0.4300 | val_refine_l1: 0.3578 | val_initial_mse: 0.7225 | val_initial_l1: 0.6664
Epoch 095 | train_loss: 0.0673 | train_refine_l1: 0.0413 | train_initial_mse: 0.2596 | train_initial_l1: 0.3975 | val_loss: 0.4274 | val_refine_l1: 0.3552 | val_initial_mse: 0.7221 | val_initial_l1: 0.6664
Epoch 096 | train_loss: 0.0671 | train_refine_l1: 0.0412 | train_initial_mse: 0.2590 | train_initial_l1: 0.3969 | val_loss: 0.4222 | val_refine_l1: 0.3498 | val_initial_mse: 0.7243 | val_initial_l1: 0.6675
Epoch 097 | train_loss: 0.0666 | train_refine_l1: 0.0408 | train_initial_mse: 0.2587 | train_initial_l1: 0.3967 | val_loss: 0.4239 | val_refine_l1: 0.3525 | val_initial_mse: 0.7137 | val_initial_l1: 0.6624
Epoch 098 | train_loss: 0.0667 | train_refine_l1: 0.0409 | train_initial_mse: 0.2578 | train_initial_l1: 0.3961 | val_loss: 0.4243 | val_refine_l1: 0.3523 | val_initial_mse: 0.7201 | val_initial_l1: 0.6655
Epoch 099 | train_loss: 0.0664 | train_refine_l1: 0.0406 | train_initial_mse: 0.2572 | train_initial_l1: 0.3956 | val_loss: 0.4238 | val_refine_l1: 0.3515 | val_initial_mse: 0.7224 | val_initial_l1: 0.6665
Epoch 100 | train_loss: 0.0664 | train_refine_l1: 0.0407 | train_initial_mse: 0.2564 | train_initial_l1: 0.3950 | val_loss: 0.4295 | val_refine_l1: 0.3576 | val_initial_mse: 0.7196 | val_initial_l1: 0.6653 | val_sample_l1: 0.4958
Epoch 101 | train_loss: 0.0662 | train_refine_l1: 0.0406 | train_initial_mse: 0.2558 | train_initial_l1: 0.3945 | val_loss: 0.4256 | val_refine_l1: 0.3536 | val_initial_mse: 0.7206 | val_initial_l1: 0.6658
Epoch 102 | train_loss: 0.0650 | train_refine_l1: 0.0395 | train_initial_mse: 0.2549 | train_initial_l1: 0.3938 | val_loss: 0.4238 | val_refine_l1: 0.3517 | val_initial_mse: 0.7205 | val_initial_l1: 0.6657
Epoch 103 | train_loss: 0.0652 | train_refine_l1: 0.0398 | train_initial_mse: 0.2546 | train_initial_l1: 0.3936 | val_loss: 0.4254 | val_refine_l1: 0.3529 | val_initial_mse: 0.7248 | val_initial_l1: 0.6679
Epoch 104 | train_loss: 0.0645 | train_refine_l1: 0.0391 | train_initial_mse: 0.2535 | train_initial_l1: 0.3927 | val_loss: 0.4296 | val_refine_l1: 0.3575 | val_initial_mse: 0.7210 | val_initial_l1: 0.6662
Epoch 105 | train_loss: 0.0649 | train_refine_l1: 0.0396 | train_initial_mse: 0.2533 | train_initial_l1: 0.3926 | val_loss: 0.4271 | val_refine_l1: 0.3550 | val_initial_mse: 0.7213 | val_initial_l1: 0.6662
Epoch 106 | train_loss: 0.0642 | train_refine_l1: 0.0389 | train_initial_mse: 0.2525 | train_initial_l1: 0.3920 | val_loss: 0.4280 | val_refine_l1: 0.3557 | val_initial_mse: 0.7230 | val_initial_l1: 0.6669
Epoch 107 | train_loss: 0.0645 | train_refine_l1: 0.0393 | train_initial_mse: 0.2523 | train_initial_l1: 0.3918 | val_loss: 0.4245 | val_refine_l1: 0.3524 | val_initial_mse: 0.7203 | val_initial_l1: 0.6658
Epoch 108 | train_loss: 0.0636 | train_refine_l1: 0.0384 | train_initial_mse: 0.2514 | train_initial_l1: 0.3911 | val_loss: 0.4261 | val_refine_l1: 0.3543 | val_initial_mse: 0.7185 | val_initial_l1: 0.6649
